feature,obesity_level,n,mean,mean_ci_low,mean_ci_high,var,var_ci_low,var_ci_high,min,max,model_mean,model_var,mean_diff,var_diff
FCVC,Normal,287,2.3344947735191637,2.265831644771003,2.403157902267324,0.34926049560195904,0.2984060955571645,0.4143950686741613,1.0,3.0,2.245951178973709,0.2751354383510076,-0.08854359454545468,-0.07412505725095142
FCVC,Overweight,580,2.26260469137931,2.2244556246365175,2.3007537581221023,0.21881751450218956,0.19564731939667693,0.24638466601216336,1.0,3.0,2.232239199918843,0.20494818641210344,-0.030365491460466743,-0.01386932809008612
FCVC,Obesity,972,2.5200768991769547,2.4878174726776465,2.552336325676263,0.2626636697316623,0.24078011284622697,0.2876881926290596,1.0,3.0,2.456160902202981,0.2546308575562195,-0.06391599697397377,-0.008032812175442772
NCP,Insufficient,272,2.9144032463235297,2.806815845786404,3.0219906468606554,0.8122838248512121,0.6911566808074573,0.9684804730109812,1.0,4.0,2.9222100760664307,0.6744357039182987,0.007806829742901034,-0.13784812093291343
NCP,Normal,287,2.7386759581881535,2.6373790230906256,2.8399728932856814,0.7601422967276625,0.6494610690035483,0.9019033736171208,1.0,4.0,2.8079321085212086,0.5729930626671509,0.0692561503330551,-0.18714923406051165
NCP,Overweight,580,2.499873955172414,2.4294508445597063,2.570297065785122,0.7456665349934315,0.6667092397387296,0.8396073806009955,1.0,4.0,2.5682786793500667,0.6572928634428177,0.06840472417765264,-0.08837367155061382
NCP,Obesity,972,2.716786251028807,2.6778259940751177,2.7557465079824963,0.38311605136232213,0.35119712663140756,0.4196163272073649,1.0,4.0,2.734393910344582,0.37288897969461043,0.017607659315774793,-0.010227071667711696
CH2O,Insufficient,272,1.871281,1.7993830251947844,1.9431789748052155,0.3627590795077417,0.30866472242170384,0.43251518023892555,1.0,3.0,1.9022826396974224,0.31785332242688913,0.031001639697422423,-0.04490575708085259
CH2O,Normal,287,1.8501742160278745,1.776002908499052,1.9243455235566969,0.4075436758363588,0.34820289900161394,0.4835476432708262,1.0,3.0,1.8938183477115276,0.2950866606800586,0.04364413168365311,-0.11245701515630019
CH2O,Overweight,580,2.041929081034483,1.9942103191972482,2.089647842871717,0.34236753614648224,0.30611485030296276,0.38549981357188945,1.0,3.0,2.031311870734264,0.2998625696039401,-0.010617210300218893,-0.042504966542542155
CH2O,Obesity,972,2.0726386574074076,2.0341690877531433,2.111108227061672,0.3735264660567919,0.342406487886533,0.4091131218442913,1.0,3.0,2.081037501346232,0.34348559367933795,0.008398843938824285,-0.030040872377453953
FAF,Insufficient,272,1.2501313345588234,1.1478731274389826,1.3523895416786642,0.7338061111428803,0.6243815038747592,0.8749120293613895,0.0,3.0,1.3278588899651262,0.6828527214658604,0.07772755540630283,-0.0509533896770199
FAF,Normal,287,1.2473867595818815,1.1293010867113147,1.3654724324524483,1.0329913988450572,0.8825817232556151,1.2256368729204035,0.0,3.0,1.3023959902841802,0.7974403563120704,0.055009230702298684,-0.23555104253298675
FAF,Overweight,580,1.0074341344827586,0.9390098238436448,1.0758584451218725,0.7039391280058817,0.6294002732190198,0.7926230555227659,0.0,3.0,1.0604804698486627,0.6447208293231603,0.053046335365904085,-0.059218298682721326
FAF,Obesity,972,0.8748877726337448,0.8264454004612307,0.923330144806259,0.5922942640211132,0.5429478689415631,0.6487233902384371,0.0,3.0,0.937747168886365,0.5632165701990818,0.06285939625262016,-0.029077693822031403
TUE,Insufficient,272,0.8394590588235296,0.7626743750243895,0.9162437426226696,0.4137463509642991,0.3520488108710806,0.4933069567916977,0.0,2.0,0.8827839523579403,0.3453072375308105,0.04332489353441071,-0.06843911343348863
TUE,Normal,287,0.6759581881533101,0.5961745131182458,0.7557418631883744,0.47155283740649595,0.4028919469316175,0.5594940535824643,0.0,2.0,0.7629752092120049,0.3513118603965528,0.0870170210586948,-0.12024097700994313
TUE,Overweight,580,0.65513345,0.6033062147626536,0.7069606852373465,0.4038595229021995,0.3610955606016882,0.4547387072395175,0.0,2.0,0.7182007198849275,0.35143911255529225,0.0630672698849275,-0.052420410346907254
TUE,Obesity,972,0.6033381687242798,0.5689634684416232,0.6377128690069365,0.29823908846227426,0.2733916016952917,0.3266529566829825,0.0,2.0,0.6408621774157037,0.27764127912072334,0.037524008691423916,-0.02059780934155092
